# DVR Export: master_status
# ExportTime: 20260410_230429
# FrameCount: 480
# FirstFrameTimestamp: 0
# LastFrameTimestamp: 0
# MasterSuffix.freqShiftDone: 0
# MasterSuffix.tpFreq1: 0
# MasterSuffix.tpFreq2: 1037
# MasterSuffix.penF0NoiseCount: 64
# MasterSuffix.penF1NoiseCount: 93
# MasterSuffix.touchX: 22
# MasterSuffix.touchY: 36
Frame,Timestamp,MasterWasRead,PeakCount,ContactCount,P0_R,P0_C,P0_Z,P1_R,P1_C,P1_Z,C0_ID,C0_X,C0_Y,C0_State,C0_Area,C0_SigSum,C1_ID,C1_X,C1_Y,C1_State,C1_Area,C1_SigSum
46,0,1,3,4,13,35,985,24,42,1783,15,35.1593,14.5631,1,11,3316,14,41.5917,25.1091,1,16,6487
47,0,1,3,3,12,36,1016,24,43,1246,15,35.4598,14.0769,1,10,3273,14,41.8074,24.8442,1,16,5438
48,0,1,2,3,23,43,2107,27,35,2119,14,42.2633,24.4821,1,8,4400,10,35.109,28.1532,1,12,8179
49,0,1,2,3,23,43,2091,26,36,2676,14,42.5468,24.1328,1,14,5108,10,35.4339,27.5906,1,11,7287
50,0,1,3,3,11,36,1506,22,43,1511,18,36.75,11.3672,0,12,3759,14,42.8793,23.7494,1,12,4562
51,0,1,3,3,10,36,1042,22,44,1751,18,36.832,10.9023,0,10,3983,14,43.2562,23.3387,1,7,4272
52,0,1,3,3,10,36,1301,22,44,1469,18,36.8603,10.7927,1,12,4165,14,43.5893,22.9261,1,8,3919
53,0,1,3,3,9,37,1043,21,44,2117,18,36.9016,10.5904,1,10,4377,14,43.8899,22.5149,1,7,4221
54,0,1,2,3,9,37,1567,23,37,2383,18,36.9545,10.292,1,8,4426,10,36.9023,24.7778,1,11,6693
55,0,1,3,3,21,44,1096,8,37,1390,14,44.3535,21.8384,1,7,3753,18,37.0181,9.95529,1,10,4521
56,0,1,3,3,20,45,1239,8,37,2071,14,44.5739,21.4873,1,6,3677,18,37.0985,9.56848,1,10,4703
57,0,1,3,3,8,37,1610,20,45,1753,18,37.2017,9.16287,1,11,4628,14,44.756,21.1496,1,7,4015
58,0,1,3,3,20,45,1802,7,37,2122,14,44.9131,20.8532,1,8,3928,18,37.3019,8.72574,1,12,4658
59,0,1,3,3,20,45,1610,7,37,1837,14,45.0518,20.5889,1,8,3888,18,37.4206,8.29045,1,11,4442
60,0,1,3,3,6,37,1406,19,45,1629,18,37.533,7.85808,1,10,4424,14,45.1806,20.361,1,7,4267
61,0,1,3,3,6,37,1596,19,45,1905,18,37.6343,7.42273,1,9,4363,14,45.2922,20.1679,1,7,4189
62,0,1,4,4,6,37,1310,19,41,1503,18,37.7086,7.02434,1,10,4138,19,41.9453,19.3672,0,6,3605
63,0,1,4,4,5,37,1269,19,41,1741,18,37.7706,6.64308,1,10,4258,19,41.9414,19.3359,0,6,4222
64,0,1,4,4,5,37,1606,19,41,1829,18,37.7963,6.30697,1,9,4429,19,41.9398,19.34,1,7,4679
65,0,1,4,4,5,37,1803,19,41,1912,18,37.8002,6.02512,1,10,4276,19,41.9344,19.3481,1,7,5004
66,0,1,4,4,5,37,1828,19,41,2051,18,37.7867,5.7942,1,12,4313,19,41.922,19.3513,1,7,5049
67,0,1,4,4,5,37,1865,19,41,2119,18,37.7576,5.62502,1,11,4412,19,41.9089,19.3611,1,7,5258
68,0,1,4,4,5,37,1983,19,41,2220,18,37.7072,5.51166,1,11,4642,19,41.8837,19.3764,1,7,5310
69,0,1,4,4,5,37,2103,19,45,2327,18,37.6486,5.45075,1,11,4700,14,45.6627,19.489,1,8,5012
70,0,1,5,5,17,30,1063,5,37,2108,20,30.832,17.8164,0,6,2871,18,37.5561,5.43466,1,11,5035
71,0,1,5,5,18,30,1461,5,37,1846,20,30.6602,18.0625,0,9,3181,18,37.4375,5.45442,1,12,5022
72,0,1,5,5,5,36,1457,18,30,1769,18,37.2951,5.51887,1,10,4962,20,30.6056,18.1328,1,7,3474
73,0,1,5,5,18,30,1500,20,41,1537,20,30.5128,18.2451,1,8,3769,19,41.573,19.67,1,6,5030
74,0,1,5,5,18,29,1066,20,41,1724,20,30.3884,18.3951,1,6,3926,19,41.4607,19.783,1,7,4882
75,0,1,5,5,19,29,1769,20,40,1770,20,30.2457,18.5683,1,6,3878,19,41.3378,19.9289,1,6,4981
76,0,1,5,5,19,45,1610,6,35,1829,14,45.3799,19.7209,1,6,4511,18,36.5268,6.05536,1,12,5181
77,0,1,5,5,19,45,1212,19,29,1858,14,45.2977,19.7867,1,6,4403,20,29.8458,19.0045,1,8,4750
78,0,1,5,5,20,44,1349,20,28,1393,14,45.2045,19.8611,1,5,4114,20,29.5983,19.2422,1,6,4661
79,0,1,5,5,21,39,1645,20,44,2020,19,40.5915,20.7385,1,8,5162,14,45.0893,19.952,1,7,4133
80,0,1,5,5,20,28,1995,23,34,2081,20,28.9758,19.7654,1,8,5438,10,35.8756,22.637,1,11,7124
81,0,1,4,5,21,39,1947,7,34,1975,19,40.0341,21.2243,1,7,5592,18,35.0552,7.02975,1,13,6254
82,0,1,5,5,20,43,1544,22,39,1638,14,44.6174,20.2852,1,7,3849,19,39.7259,21.4902,1,7,5456
83,0,1,5,5,20,43,1436,21,26,1947,14,44.3901,20.4299,1,7,3856,20,27.8399,20.5313,1,9,6332
84,0,1,5,5,21,43,1706,23,33,2121,14,44.1243,20.5931,1,7,4061,10,34.3287,23.3741,1,10,7774
85,0,1,5,5,22,37,1951,21,42,1965,19,38.7435,22.24,1,9,5686,14,43.8214,20.7858,1,7,4299
86,0,1,5,5,21,42,1932,22,37,2042,14,43.4849,21.0005,1,8,4174,19,38.4006,22.4575,1,7,5566
87,0,1,5,5,21,41,1125,8,31,2050,14,43.1148,21.2366,1,6,4057,18,32.6655,8.35547,1,15,6693
88,0,1,5,5,22,41,1682,21,25,1767,14,42.743,21.4793,1,8,3940,20,25.901,21.5947,1,8,6524
89,0,1,5,5,9,31,2113,22,24,2254,18,31.9159,8.78103,1,12,7296,20,25.5519,21.7679,1,9,6727
90,0,1,5,5,22,41,1966,25,31,2012,14,41.9934,21.9415,1,7,4862,10,31.9175,24.5525,1,9,7652
91,0,1,5,5,24,36,1583,22,40,2014,19,36.7724,23.532,1,8,5297,14,41.6583,22.1558,1,7,4626
92,0,1,5,5,23,35,1490,22,40,2016,19,36.4811,23.7096,1,9,5009,14,41.3438,22.3612,1,7,4718
93,0,1,4,5,23,40,1742,22,23,2477,14,41.0503,22.5595,1,7,4555,20,24.3421,22.1892,1,8,6634
94,0,1,5,5,23,40,1935,24,35,2625,14,40.79,22.7409,1,7,4585,19,36.0021,24.0167,1,9,5695
95,0,1,5,5,23,40,1898,24,35,2492,14,40.5753,22.9046,1,7,4609,19,35.7553,24.1992,1,8,6012
96,0,1,5,5,23,40,1792,24,35,2182,14,40.41,23.0615,1,7,4667,19,35.5655,24.3742,1,8,5925
97,0,1,5,5,23,40,1762,24,35,1807,14,40.2843,23.1997,1,7,4897,19,35.4216,24.5304,1,8,5640
98,0,1,5,5,24,35,1611,23,40,1890,19,35.3214,24.6571,1,8,5613,14,40.2117,23.3222,1,7,4989
99,0,1,5,5,25,35,1684,9,31,1893,19,35.2552,24.7537,1,7,5471,18,30.7748,9.83857,1,12,7097
100,0,1,5,5,25,35,1822,23,40,2201,19,35.242,24.8354,1,7,5587,14,40.197,23.4854,1,7,5136
101,0,1,5,5,25,35,1947,22,24,2166,19,35.2647,24.9124,1,7,5787,20,24.2178,22.6242,1,10,7188
102,0,1,5,5,23,40,2077,25,35,2086,14,40.3669,23.6052,1,8,4638,19,35.3455,24.9798,1,8,5985
103,0,1,5,5,23,41,1486,23,25,2214,14,40.5437,23.6638,1,8,4375,20,24.9663,22.926,1,10,7351
104,0,1,5,5,11,34,1609,23,41,1990,18,32.6321,10.5762,1,10,6228,14,40.8018,23.7065,1,8,4488
105,0,1,5,5,23,42,1331,25,36,1792,14,41.1194,23.7588,1,8,4505,19,36.0959,25.3069,1,9,6840
106,0,1,5,5,23,42,1480,11,35,1888,14,41.4914,23.8061,1,8,4441,18,33.7808,11.0549,1,14,4938
107,0,1,5,5,12,36,1438,23,43,1590,18,34.4347,11.3332,1,13,4859,14,41.9748,23.8311,1,8,4149
108,0,1,5,5,23,44,1410,24,29,1730,14,42.5105,23.8506,1,8,4379,20,28.105,24.1708,1,8,6043
109,0,1,4,5,26,39,1477,12,37,1914,19,38.3372,25.7804,1,10,7178,10,34.5387,27.4108,1,10,7178
110,0,1,5,5,12,38,1185,26,40,1778,18,36.5172,12.1856,1,9,4591,19,38.9968,25.8534,1,9,6878
111,0,1,4,5,13,38,1489,25,41,1932,18,37.1636,12.4167,1,10,4410,19,39.7429,25.8809,1,10,7002
112,0,1,5,5,13,38,1037,25,33,1573,18,37.779,12.6045,1,9,4030,20,31.4421,25.2629,1,7,5192
113,0,1,5,5,23,46,1411,13,39,1438,14,45.4023,23.5328,1,6,3890,18,38.3048,12.7367,1,10,4179
114,0,1,5,5,22,47,1604,12,39,1692,14,46.0201,23.3361,1,6,3998,18,38.7434,12.7847,1,9,4580
115,0,1,4,5,12,39,2010,25,43,2406,18,39.0604,12.7524,1,10,4727,19,42.4468,25.5579,1,10,6850
116,0,1,5,5,22,47,1443,24,44,1548,14,46.9435,22.9029,1,6,4161,19,42.99,25.3435,1,9,6294
117,0,1,5,5,21,48,1281,25,34,1286,14,47.3376,22.6046,1,6,3960,20,34.3082,25.2806,1,8,4847
118,0,1,5,5,24,35,1696,21,48,1815,20,34.5721,25.0396,1,6,4989,14,47.6354,22.3053,1,7,3990
119,0,1,4,5,24,35,1325,21,48,2131,20,34.7317,24.7341,1,6,4447,14,47.8757,22.0203,1,8,4248
120,0,1,5,5,23,34,1431,23,44,1765,20,34.7963,24.3159,1,6,3781,19,44.2533,24.1137,1,8,4203
121,0,1,5,5,22,34,1168,10,39,1455,20,34.7819,23.8455,1,8,2888,18,39.3424,11.0293,1,12,5647
122,0,1,4,5,20,48,1550,24,40,1757,14,48.1563,21.2989,1,7,3758,10,40.8983,25.6176,1,10,5636
123,0,1,5,5,21,34,641,20,48,1589,20,34.5461,22.9949,1,7,2000,14,48.1525,21.1141,1,7,3471
124,0,1,3,5,23,39,1430,22,44,1746,10,40.4468,24.8323,1,12,5286,19,44.3282,22.7146,1,7,4725
125,0,1,3,4,21,43,1206,8,37,2382,19,44.2086,22.4864,1,7,4456,18,38.4813,9.43105,1,12,5825
126,0,1,4,4,20,47,1421,21,43,1948,1,47.2656,20.125,0,7,3238,19,44.0148,22.2757,1,7,4477
127,0,1,4,4,19,46,1188,7,36,1619,1,46.832,19.9297,0,5,3203,18,37.852,8.74246,1,8,6176
128,0,1,4,5,19,31,680,21,42,2128,2,31.1445,19.1055,0,6,1927,1,45.7951,20.3087,1,7,4407
129,0,1,3,5,21,41,1538,7,36,1872,1,44.6013,20.5696,1,10,3885,18,37.1296,8.14995,1,12,5955
